127.0.0.1 - - [25/Sep/2019:15:04:42 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:05:30 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:05:30 +0800] "GET /servlet04/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:06:11 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:07:34 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:10:55 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:12:05 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:13:23 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:14:07 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:14:36 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [25/Sep/2019:15:14:54 +0800] "GET /servlet04/success.jsp HTTP/1.1" 200 683
